Business,HIC #,Expiration,Phone,Address,City,State,Zip,,Worker
Blue Ribbon Contractors,PA059507,6/19/2026,610-275-8401,1423 Guiteras Drive,Blue Bell,PA,19422,,Ashan
Bob McGrath's Tree Service LLC,PA081400,9/16/2025,610-292-9806,721 Cathcart Road,Blue Bell,PA,19422,,Ashan
Bradley Home Repair,PA169766,12/12/2025,610-550-1459,174 Canterbury Lane,Blue Bell,PA,19422,,Ashan
"Brightview Landscapes, LLC",PA010932,01/05/2027,215-431-5951,980 Jolly Road,Blue Bell,PA,19422,,Ashan
Burkhart Restoration,PA135414,4/14/2025,267-267-8798,893 Morris Road,Blue Bell,PA,19422,,Ashan
C & D Driveway Paving & Sealing Inc,PA045952,7/23/2025,610-828-1823,23 Ramsgate Court,Blue Bell,PA,19422,,Ashan
C & J Construction,PA042393,11/28/2025,215-696-9522,123 Gleneagles Dr,Blue Bell,PA,19422,,Ashan
C.J.S. Custom Carpentry,PA192445,5/15/2026,610-360-0871,1029 Sunset Drive,Blue Bell,PA,19422,,Ashan
"Call Dad Handyman Services, LLC",PA133755,7/24/2025,484-343-7442,1634 Daws Road,Blue Bell,PA,19422,,Ashan
Castor Brothers LLC,PA059012,6/20/2026,215-850-6300,965 Blue Rock Lane,Blue Bell,PA,19422,,Ashan
Catagnus Painting,PA121730,02/09/2026,610-322-7101,1462 Mauck Road,Blue Bell,PA,19422,,Ashan
Center Square Electric,PA023638,07/05/2025,610-476-7592,1601 Layfette Way,Blue Bell,PA,19422,,Ashan
CMJ Home Improvements LLC,PA173835,06/04/2026,267-625-9629,1123 Trewellyn Ave,Penllyn,PA,19422,,Ashan
Conway Carpentry LLC,PA088387,04/06/2025,215-272-6816,324 Augusta Drive,Blue Bell,PA,19422,,Ashan
David J. Byrne,PA074085,03/03/2027,610-324-6456,1649 Daws Rd.,Blue Bell,PA,19422,,Ashan
"DEG Builders, LLC",PA197544,12/12/2026,610-761-7060,1301 Walton rd,Blue Bell,PA,19422,,Ashan
"Del Sol Construction, LLC",PA157490,11/14/2026,215-390-4392,1032 Wagon Road,Bluebell,PA,19422,,Ashan
DeSantis Development Corp.,PA168042,02/02/2026,215-654-7787,515 Gwynedd Avenue,Blue Bell,PA,19422,,Ashan
Drain Doctor Pennslyvania,PA155733,5/21/2025,445-220-2138,1252 Skippack Pike,Blue Bell,PA,19422,,Ashan
DWC INTERNATIONAL,PA066886,9/16/2025,646-373-8493,1475 Skippack Pike,Blue Bell,PA,19422,,Ashan
E&P Electrical,PA020041,10/12/2025,610-272-6688,1051 Wentz Road,Blue Bell,PA,19422,,Ashan
Eisenhard Designs LLC,PA155199,4/15/2026,610-844-2473,1630 Penllyn Blue Bell Pike,Blue Bell,PA,19422,,Ashan
Elevation Renovation & Investments LLC,PA197967,01/07/2027,978-460-9947,1510 daws rd,blue bell,PA,19422,,Ashan
"Encore Handyman and Home Services, LLC",PA195461,9/13/2026,484-995-6233,1534 Lafayette Way,Blue Bell,PA,19422,,Ashan
Eric Reigart,PA067541,02/09/2027,610-277-0992,1148 CLEVELAND RD,Blue Bell,PA,19422,,Ashan
Everlong Solutions LLC,PA166809,08/02/2025,610-270-0885,935 E Township Line Rd,Blue Bell,PA,19422,,Ashan
"Family Heating and Air Conditioning, Inc.",PA143058,9/27/2026,267-440-6733,325 Sentry ParkwaySuite 200,Blue Bell,PA,19422,,Ashan
"GD Landscaping, LLC",PA081906,11/02/2026,610-636-7165,191 penllyn pike,Blue Bell,PA,19422,,Ashan
Gomez General Contracting Inc.,PA019614,08/07/2025,215-760-1847,961 Skippack Pike,Blue Bell,PA,19422,,Ashan
GP Custom Homes LLC,PA164201,4/14/2025,215-641-9280,925 Harvest DriveSuite 220,Blue Bell,PA,19422,,Ashan
Greg Heloskie,PA064335,3/13/2025,610-662-9130,130 red oak dr,Blue Bell,PA,19422,,Ashan
Guidi Construction Management LLC,PA153914,02/04/2026,215-641-9280,925 Harvest DriveSuite 220,Blue Bell,PA,19422,,Ashan
H.C.M. Home Services Inc.,PA172274,4/25/2026,610-550-1028,29 Ramsgate CT,Blue Bell,PA,19422,,Ashan
Handyman Scott,PA041884,10/25/2025,215-887-2760,205 Huntsman Lane,Blue Bell,PA,19422,,Ashan
Hardy Construction LLC,PA153636,10/07/2026,484-302-6007,108 culpepper dr,Penllyn,PA,19422,,Ashan
Hartmann and Sons Water and Sewer PA,PA178884,12/21/2026,732-979-8828,1188A DeKalb Pike,Blue Bell,PA,19422,,Ashan
"HDI Associates, Inc.",PA082655,2/28/2026,215-778-6896,1715 W. Township Line Rd.,Blue Bell,PA,19422,,Ashan
Hoerdemann General Contracting LLC,PA110571,2/26/2027,484-574-2258,1558 Clearview ave,Blue Bell,PA,19422,,Ashan
Home Modification and Remodeling Services,PA034723,07/01/2025,610-636-5468,1684 De Kalb Pike,Blue Bell,PA,19422,,Ashan
Imperial Construction and Maintenance LLC,PA127703,5/16/2025,484-862-8637,1407 Dogwood Circle,Blue Bell,PA,19422,,Ashan
Impriano Roofing & Siding Inc.,PA060753,01/05/2026,215-654-1990,1662 Dekalb Pike,Blue Bell,PA,19422,,Ashan
Integra Home Solutions LLC,PA171792,03/07/2026,610-308-4840,1115 Shepard Drive,Blue Bell,PA,19422,,Ashan
"J. Bill Landscaping, Inc.",PA090827,09/11/2026,215-628-8707,600 Penllyn Pike,Penllyn,PA,19422,,Ashan
JD Handyman,PA154670,03/12/2026,215-880-4541,730 Skippack pike,Blue Bell,PA,19422,,Ashan
John Snyder Plumbing & Heating,PA157650,08/04/2025,267-804-1824,1145 Oak Ridge Dr,Blue Bell,PA,19422,,Ashan
Joseph Hytha,PA063870,8/14/2025,215-266-6189,3107 Stoney Creek Rd,East Norriton,PA,19422,,Ashan
jstrawpools.llc,PA013932,7/26/2025,215-643-9610,853 morris rd,Blue Bell,PA,19422,,Ashan
"Justin Philomeno Homes, LLC",PA161092,12/16/2026,610-637-2163,923 Ashford Lane,Blue Bell,PA,19422,,Ashan
K&K Electric Service,PA051599,11/09/2025,610-715-0066,1534 sylvan drive,Blue Bell,PA,19422,,Ashan
"Katek, LLC",PA058170,11/09/2025,215-643-6210,251 PENLLYN BLUE BELL PIKE,Blue Bell,PA,19422,,Ashan
"LDJ Holdings, LLC",PA110357,7/27/2026,215-643-3183,157 Splitrail Lane,Blue Bell,PA,19422,,Ashan
Limitless Industries,PA133070,12/27/2025,215-608-6886,880 N wales Road,Blue Bell,PA,19422,,Ashan
Maccs Construction LLC,PA152375,10/01/2026,610-742-0708,651 E. Township Line Rd.#1364,Blue Bell,PA,19422,,Ashan
"Master Builder & Design, Inc.",PA044049,10/01/2025,484-571-8252,651 Morris Road,Blue Bell,PA,19422,,Ashan
MVS Drywall & More LLC,PA192354,5/13/2026,484-681-1845,2505 Whitpain Hills,Blue Bell,PA,19422,,Ashan
Open Shut Them,PA194549,08/07/2026,215-588-8146,1621 Clearview Ave,Blue Bell,PA,19422,,Ashan
ORION HOME REMODELING LLC,PA195008,8/26/2026,610-308-4671,980 Cross lane,Blue Bell,PA,19422,,Ashan
"Oruska Construction, Anthony Oruska General Contractor",PA051846,6/15/2026,484-719-0024,580 School Road,Blue Bell,PA,19422,,Ashan
"Oruska Construction, Anthony Oruska General Contractor",PA051846,6/15/2026,484-719-0024,Various,Blue Bell,PA,19422,,Ashan
"Pappas General Constuction, Inc",PA063126,3/28/2025,484-368-6739,1589 Sylvan Dr,Blue Bell,PA,19422,,Ashan
Park's Mechanical HVAC,PA072663,8/16/2026,610-368-5297,263 Tulip Tree Ct,Blue Bell,PA,19422,,Ashan
Pennco Covers Inc.,PA029898,03/08/2027,610-449-2776,999 Butler Pike,Blue Bell,PA,19422,,Ashan
PMB Enterprises LLC,PA174199,06/05/2026,215-896-2304,269 Huntsman Lane,Blue Bell,PA,19422,,Ashan
Precision Pro,PA180976,03/12/2025,610-675-9161,1785 Clearview Ave,Blue Bell,PA,19422,,Ashan
Prenlyn Painting Company LLC,PA192403,5/14/2026,215-885-8979,482 NORRISTOWN RDSTE 111,Blue Bell,PA,19422,,Ashan
RJ2 Construction Inc.,PA112596,11/07/2026,215-353-2915,6198 Butler PikeSuite 115,Blue Bell,PA,19422,,Ashan
Roberts Brothers Landscaping Inc.,PA035676,7/19/2025,215-616-0777,884 Crestline Drive,Blue Bell,PA,19422,,Ashan
Robert's Home Services,PA193918,07/12/2026,610-329-2242,791 Midway Lane,Blue Bell,PA,19422,,Ashan
ROCK WORK INC.,PA072855,6/15/2025,610-279-9500,1257 Dekalb Pike,Blue Bell,PA,19422,,Ashan
Ross' Construction Management & Maintenance LLC.,PA192792,5/29/2026,215-840-6432,2608 Buckeye Circle,Blue Bell,PA,19422,,Ashan
Sal pileggi landscaping,PA187399,11/08/2025,610-864-2264,1120 north wales rd,Blue Bell,PA,19422,,Ashan
Shannon Heating and Cooling L.L.C.,PA127138,7/24/2025,267-690-3490,1542 Sylvan dr,Blue bell,PA,19422,,Ashan
Shelby Roofing Services,PA178363,11/24/2026,215-847-3522,653 Skippack Pike Suite 300-51,Blue Bell,PA,19422,,Ashan
"Simo Ayer, LLC",PA192983,06/05/2026,215-813-0990,725 Skipjack Pike,Blue Bell,PA,19422,,Ashan
Superior Energy Services LLC,PA026348,07/03/2025,484-235-0298,1550 Skippack Pike,Blue Bell,PA,19422,,Ashan
SUPERIOR PLAY SYSTEMS,PA151846,10/21/2025,610-539-5555,2554 INDUSTRY LANE,Norrisotwn,PA,19422,,Ashan
The First Quality Construction,PA090917,05/08/2026,267-242-0868,1031 wissahickon ave,Blue Bell,PA,19422,,Ashan
Timber and Stone Landscape Design LLC,PA187199,10/30/2025,267-799-8612,210 Kerry Lane,Blue Bell,PA,19422,,Ashan
Tri-County Residential Contractors LLC      87-2971250,PA186813,10/15/2025,267-761-8658,982 Netherwood Dr,Blue Bell,PA,19422,,Ashan
Urbanelli Industries,PA170703,1/28/2026,610-308-4840,1115 Shepard Drive,Blue Bell,PA,19422,,Ashan
"Vacchiano Contracting, LLC",PA066764,4/15/2026,610-247-9737,1094 Wentz Rd,Blue Bell,PA,19422,,Ashan
"Venco Builders, Inc.",PA170487,1/20/2026,215-806-9002,1551 Butler Pike,Blue Bell,PA,19422,,Ashan
"VICTORY BUILDERS, LLC",PA112540,10/31/2025,215-540-0577,564 Skippack Pike,Blue Bell,PA,19422,,Ashan
Water Heater Express,PA072143,02/07/2027,215-802-7877,1680 Narcissa Rd,Blue Bell,PA,19422,,Ashan
YH Construction,PA055790,02/05/2027,267-262-2392,973 e township line rd,Blue Bell,PA,19422,,Ashan
A.J. Spinelli Plumbing,PA039197,8/14/2025,610-489-9608,475 Dolores Drive,Collegeville,PA,19426,,Waqas
A.J. Waterproofing LLC,PA054659,02/05/2026,610-409-0888,3774 Kratz Road,Collegeville,PA,19426,,Waqas
ADRIAN & BROTHRE'S LLC,PA186017,09/12/2025,610-505-7052,3969 YERKES RD,Collegeville,PA,19426,,Waqas
Air Force Heating & Cooling,PA028575,08/07/2025,610-489-9347,241 Bechtel Road,Collegeville,PA,19426,,Waqas
AJR Painting and Interior Finishes LLC,PA088043,05/01/2026,484-614-1177,205 8th Avenue,Collegeville,PA,19426,,Waqas
All Day HandyWorks,PA187042,10/24/2025,484-888-4648,242 Wartman Road,Collegeville,PA,19426,,Rehan
All Vision Painting LLC,PA190970,3/28/2026,610-787-3650,13 Pechins Mill Rd,Collegeville,PA,19426,,Rehan
Al's Handyman Service,PA051873,8/28/2025,610-917-0190,9 Buckthorn Lane,Collegeville,PA,19426,,Rehan
American Stamped Concrete  LLC,PA089949,5/28/2026,610-724-9891,601 Old State Rd,collegeville,PA,19426,,Rehan
Apple Landscape Management Inc.,PA033765,08/10/2025,610-539-6783,21 Moyer Road,Collegeville,PA,19426,,Rehan
"Arista Pool & Spa, Inc.",PA005373,8/18/2025,610-489-6000,11 Crosskeys Road,Collegeville,PA,19426,,Rehan
Aronson Carpentry & Remodeling LLC,PA166369,7/13/2025,484-250-2082,3868 Yerkes Rd.,Collegeville,PA,19426,,Rehan
ASB Home Improvements LLC,PA054150,02/08/2026,610-308-2655,3310 stump hall rd.,collegeville,PA,19426,,Rehan
"At Your Service, Mark Duncan Painting",PA102197,01/11/2027,610-716-3783,611 Longwood Road,Collegeville,PA,19426,,Rehan
AV-TEKS INCORPORATED,PA036749,9/26/2025,484-368-7435,890 Black Road,Collegeville,PA,19426,,Rehan
B. & B. Enterprises,PA056005,02/07/2026,610-584-6169,1214 Merrybrook Road,Collegeville,PA,19426,,Rehan
B.J. Rotonda Group Inc.,PA049432,04/12/2027,610-454-9339,14 Merion Lane,Collegeville,PA,19426,,Rehan
B.J. Rotonda Group Inc.,PA049432,04/12/2027,610-960-6776,14 Merion Lane,Collegeville,PA,19426,,Rehan
Baccaro Electrical and Plumbing Contractors Inc,PA050475,9/26/2025,610-489-7733,38 level road,Collegeville,PA,19426,,Rehan
Bailey Home Improvement,PA093525,3/26/2026,360-319-5547,1406 Longford Rd,Collegeville,PA,19426,,Rehan
Bailey Home Improvement,PA093525,3/26/2026,360-319-5547,1406 Longford Rd,Collegeville,PA,19426,,Rehan
"Baker Remodeling, LLC",PA073760,10/26/2026,856-264-0041,204 Cadence Ct,Collegeville,PA,19426,,Rehan
Barry Weigand,PA049080,12/03/2026,610-888-8175,539 Heiser Rd,Collegeville,PA,19426,,Rehan
Bartlett Blinds LLC,PA147919,3/27/2026,267-933-7664,118 FRENCH RD,Collegeville,PA,19426,,Rehan
"Bartlett Pro-Seal, Inc.",PA045506,04/05/2025,610-489-3196,614 Buyers Rd.,Collegeville,PA,19426,,Rehan
"Bauder Contracting, LLC",PA094766,9/16/2026,267-733-3944,1321 Hollow Road,Collegeville,PA,19426,,Rehan
Bauman Pitts Plumbing & Heating Inc.,PA058183,7/28/2026,610-630-8077,1012 Cottonwood Drive,Collegeville,PA,19426,,Rehan
Belles Electrical Contractors LLC,PA151919,10/24/2025,610-831-1232,120 Burgess Road,Collegeville,PA,19426,,Rehan
Bennett Alexander Group dba Terra Lawn Care Specialists,PA081522,03/11/2027,610-275-2170,3481 Germantown Pike,Collegeville,PA,19426,,Rehan
Berman painting,PA144186,06/04/2026,610-246-5762,409 Tudor Road,Collegeville,PA,19426,,Rehan
Best Value Exteriors LLC,PA140156,06/09/2026,866-270-2528,3838 Germantown Pike,Collegeville,PA,19426,,Rehan
BF Electric and Maintenance LLC,PA187207,10/31/2025,610-945-4067,3821 Monitor Dr,Collegeville,PA,19426,,Rehan
Birdman Electric LLC,PA167999,9/22/2025,215-896-8735,18 Elisabeth lane,Collegeville,PA,19426,,Rehan
"Blue & White Landscapes, LLC",PA119842,10/08/2025,484-886-0994,3454 Germantown Pike,Collegeville,PA,19426,,Rehan
Booth Built Homes LLC,PA199555,03/07/2027,610-400-7506,77 West 3rd Ave,Collegeville,PA,19426,,Rehan
Booth Built Homes LLC,PA199555,03/07/2027,610-400-7506,77 West 3rd Ave Trappe PA 19426,Trappe,PA,19426,,Rehan
BP Construction,PA029814,01/11/2026,610-405-8203,305 Greenwood ave.,Collegeville,PA,19426,,Rehan
Bradshaw Services LLC,PA164332,09/12/2025,610-551-4368,232 W 5th Avenue Collegeville PA 19426,Collegeville,PA,19426,,Rehan
Bruno Construction,PA105853,5/14/2026,215-880-6772,1090 N Grange Ave,Collegeville,PA,19426,,Rehan
Buckwalter Pool Service LLC,PA043533,12/03/2025,610-213-5568,410 E Ninth Ave,Collegeville,PA,19426,,Rehan
Caliber Heating & Cooling LLC,PA122864,4/17/2026,610-568-2278,120 Leslen Ln,Collegeville,PA,19426,,Rehan
Cardinal Fencing LLC,PA199509,03/06/2027,484-587-5515,649 old state rd,Collegeville,PA,19426,,Rehan
Carranza Roofing & Siding Inc.,PA007218,07/01/2025,610-270-0330,50 Second Ave.,Collegeville,PA,19426,,Rehan
Casey Remodeling,PA041541,8/15/2025,610-489-3992,920 Locust St,Collegeville,PA,19426,,Rehan
Castle Keep,PA161374,01/05/2027,610-909-2988,973 Maykut Ave,Collegeville,PA,19426,,Rehan
Cb builders and flooring inc,PA154338,1/27/2027,484-687-7464,136 s Mennonite rd,Collegiville,PA,19426,,Rehan
Chally’s Contracting LLC,PA189169,1/29/2026,484-369-1979,"130 West Main Street, Suite 144-187",Trappe,PA,19426,,Rehan
Charles Chase,PA058362,04/11/2025,610-489-8376,3837yerkes rd.,collegeville,PA,19426,,Rehan
Chilly Handyman Services,PA174936,07/02/2026,610-331-9164,626 BRIDGE ST,Collegeville,PA,19426,,Rehan
Clark Property Maintenance LLC,PA178793,2/26/2027,215-353-6620,309 Evansburg Rd,Collegeville,PA,19426,,Rehan
COLLEGEVILLE LANDSCAPING LLC,PA188997,1/23/2026,610-818-5241,3761 GERMANTOWN PIKE  APT 4,COLLEGEVILLE,PA,19426,,Rehan
Comfortable Quality Services HVAC LLC,PA162983,10/26/2025,484-588-9702,173 E 7th Ave,Collegeville,PA,19426,,Rehan
Corson Construction,PA166753,7/30/2025,610-831-3001,94 Wartman Rd,Collegeville,PA,19426,,Rehan
Costanza and Sun LLC d/b/a Sun Power Builders,PA004951,10/27/2026,610-489-6608,80 Pechins Mill Road,Collegeville,PA,19426,,Rehan
CTD Electric,PA043673,01/03/2026,610-637-7426,105 yerkes rd,Collegeville,PA,19426,,Rehan
Cucchiara Electric,PA197959,01/07/2027,610-999-2746,3892 vincent drive,collegeville,PA,19426,,Rehan
"Custom Floors and More, LLC",PA129417,5/30/2025,215-644-7399,219 West Mian St,Trappe,PA,19426,,Rehan
"D.W. Gaul Company, Inc.",PA072232,01/04/2027,610-489-7070,368 Gravel Pike,Collegeville,PA,19426,,Rehan
"Daniel Tabor General Contractor, LLC",PA050579,11/13/2026,610-247-3563,3987 Yerkes Road,Collegeville,PA,19426,,Rehan
"David Civitello, Builder",PA009421,1/31/2026,610-716-5534,3804 Lisa Lane,Collegeville,PA,19426,,Rehan
"David James Real Estate I, LLC / DBA:  David James Properties",PA158281,8/13/2026,267-767-8551,370 E. 9th Avenue,Collegeville,PA,19426,,Rehan
David yoder Electric,PA151899,04/03/2026,267-446-7808,304 York ave,Towanda,PA,19426,,Rehan
deegan R & R,PA115573,11/14/2025,610-454-0437,4460 perkiomen creek rd,Collegeville,PA,19426,,Rehan
DeLuca Brothers construction,PA174981,07/05/2026,610-476-7828,3967 Crosskeys Rd,Collegeville,PA,19426,,Rehan
Dennis J. Fonte Home Improvement,PA040807,08/01/2026,610-831-5933,121 Clayhor Ave.,Collegeville,PA,19426,,Rehan
Derrick Real Estate Inc,PA178973,03/03/2027,610-636-3045,5 center ave,Collegeville,PA,19426,,Rehan
DG Investment Group LLC,PA179651,1/24/2027,484-995-5552,113 Lincoln Road,Collegeville,PA,19426,,Rehan
DiCarlo Construction Services LLC,PA094728,11/07/2026,610-930-3199,523 tawnyberry lane,collegeville,PA,19426,,Rehan
Dickson Construction LLC,PA038232,07/10/2026,610-787-0772,3605 Worthington Road,Collegeville,PA,19426,,Rehan
DiGinto Landscaping LLC,PA033033,7/14/2025,610-454-9800,3848 Germantown Pike,Collegeville,PA,19426,,Rehan
DiGinto Landscaping LLC,PA033033,7/14/2025,610-454-9800,3848 Germantown Pike,Collegeville,PA,19426,,Rehan
Dilo Construction LLC,PA195229,09/05/2026,610-329-1699,17 Fox rd,Collegeville,PA,19426,,Rehan
DINO PELLEGRIN ELECTRICIAN,PA109815,07/06/2026,610-454-7737,3858 YERKES RD,COLLEGEVILLE,PA,19426,,Rehan
DJAG Construction LLC,PA094450,12/07/2026,610-715-9689,534 Second Ave.,Skippack Twp,PA,19426,,Rehan
"DMS Custom Homes, Inc.",PA013204,1/23/2026,610-831-1911,780 Borough Line Rd.,Collegeville,PA,19426,,Rehan
Domenic Zampogna,PA133182,3/25/2026,610-306-2682,1081 Hildebidle Drive,Collegeville,PA,19426,,Rehan
Donald Buono's Powerhouse Electric LLC,PA161073,12/14/2026,484-250-1168,415 W Main St,Trappe,PA,19426,,Rehan
Drew Miller Custom Builder,PA031110,07/01/2025,610-831-9177,3549 Arcola Rd,Collegeville,PA,19426,,Rehan
Eagleridge Roofing & Construction,PA152196,4/15/2026,215-816-2740,1416 Kriebel Mill Rd,Collegville,PA,19426,,Rehan
East Coast Roofing Systems LLC,PA172263,3/23/2026,267-871-9897,373 E Main Street,Collegeville,PA,19426,,Rehan
Eastern Homestead Group. LLC.,PA182208,4/20/2025,484-844-0639,1401 Hollow Road,Collegeville,PA,19426,,Rehan
EBM HARDWOOD FLOOR INC,PA113557,8/28/2025,610-415-8764,133 HARVARD DR,TRAPPE,PA,19426,,Rehan
Edgewater Residential Homes LLC,PA119822,10/09/2025,484-854-1474,290 Upper Indian Head Road,Collegeville,PA,19426,,Rehan
Edwards Heating and A/C,PA019660,3/20/2026,484-256-8080,275 E. Third Ave,Collegeville,PA,19426,,Rehan
Ejmar Electric LLC,PA021860,7/27/2025,610-805-6912,1516 Green Valley Drive,Collegeville,PA,19426,,Rehan
"EMJ CONTRACTORS, INC",PA172640,04/05/2026,484-534-7555,3318 GERMANTOWN PIKE,Collegeville,PA,19426,,Rehan
Emmons electric,PA139402,05/05/2026,610-505-4381,715 black rock rd.,Collegeville,PA,19426,,Rehan
Enaval Services LLC,PA190486,3/14/2026,484-410-3072,709 Taylor way,Collegeville,PA,19426,,Rehan
Enaval Services LLC,PA190486,3/14/2026,484-410-3072,87 Hunt Club Dr,Collegeville,PA,19426,,Rehan
EQUITY BUILDERS AND CONTRACTORS LLC,PA106564,8/20/2026,610-420-7200,312 RIVER RD,Collegeville,PA,19426,,Rehan
"Erdman Painting & Contracting, Inc",PA024102,01/08/2027,610-454-1505,155 Knoll Drive,Collegeville,PA,19426,,Rehan
Eric McMahon,PA082159,11/16/2025,484-792-1112,635 bonnybrook ave,collegeville,PA,19426,,Rehan
Eric’s helping hand,PA178232,11/22/2026,610-350-7023,3550 waterstreet road,Collegeville,PA,19426,,Rehan
"Estate Improvement, LLC",PA197536,12/11/2026,484-999-0432,420 Silver Leaf Circle,Trappe,PA,19426,,Rehan
Fat Lab Partners LLC,PA168798,10/23/2025,484-571-7590,101 W. 4th Ave.,Collegeville,PA,19426,,Rehan
Ferguson welding and fabrication,PA191343,04/09/2026,267-421-4908,4020 cross rd,Collegeville,PA,19426,,Rehan
"Fifty Five Holdings, LLC",PA113336,11/02/2026,610-337-1022,55 W. Fourth Avenue,Collegeville,PA,19426,,Rehan
Five Star Heat Pumps,PA182022,4/14/2025,215-416-6009,1494 green  hill rd,collegeville,PA,19426,,Rehan
Fixed Right LLC,PA089659,10/22/2025,215-543-2170,922 Muhlenberg Dr,Collegeville,PA,19426,,Rehan
Foxhunter Enterprises LLC,PA136289,01/11/2026,484-716-2177,3866 Center Ave,Collegeville,PA,19426,,Rehan
Franco Gulino Contractor,PA032206,07/01/2025,610-831-5036,3801 Landis Mill Road,Collegeville,PA,19426,,Rehan
G & M Electrical Construction,PA098460,04/01/2026,484-571-4088,398 Woodlyn Drive,Collegeville,PA,19426,,Rehan
G & S Taylor Mechanical,PA061195,1/13/2026,610-529-3210,780 Clahor Avenue,Collegeville,PA,19426,,Rehan
G Ortlieb Properties LLC dba GO Properties,PA120552,12/26/2025,484-322-5463,160 Rahns Rd,Collegeville,PA,19426,,Rehan
G. David DeWane Landscape and Design,PA059742,02/11/2027,610-831-1111,120 West 8th Avenue,Collegeville,PA,19426,,Rehan
"Gelet Mechanical, LLC",PA115310,3/30/2027,610-454-8514,450 Hildebeitel Rd.,Collegeville,PA,19426,,Rehan
George D. Lentz Inc.,PA039105,06/10/2026,484-973-6495,753 Daniel Drive,Collegeville,PA,19426,,Rehan
Gerlocks and Sons Inc.,PA155173,04/04/2026,610-680-8903,8 Henry Ave,Collegeville,PA,19426,,Rehan
GF AMADOR TREE SERVICE & COMPLETE LANDSCAPING LLC,PA190496,6/27/2026,484-868-0121,107 Oak St,Collegeville,PA,19426,,Rehan
Glennon Contractors,PA038323,9/18/2026,484-614-7517,704 Rosewood Circle,Collegeville,PA,19426,,Rehan
"Gorski Construction, Inc.",PA011028,07/12/2025,610-489-9131,864 Mount Airy Road,Collegeville,PA,19426,,Rehan
"Gorski Engineering, Inc.",PA011017,07/12/2025,610-489-6850,1 Iron Bridge Drive,Collegeville,PA,19426,,Rehan
Gramm Remodeling Inc.,PA026336,4/17/2026,610-489-7562,1504 Main Street,Trappe,PA,19426,,Rehan
Grassroots Property maintenance inc,PA136532,01/02/2026,610-495-1644,115 Greenwood Ave,Collegeville,PA,19426,,Rehan
"Green Haven Outdoor Care, LLC",PA195994,10/04/2026,484-588-1664,133 E First Ave,Collegeville,PA,19426,,Rehan
Gregory Betz,PA002018,07/01/2025,610-324-5752,1519 Green Hill Road,Collegeville,PA,19426,,Rehan
Gulotta Electric,PA055408,01/10/2027,610-539-6473,3408 Ridge Pike,Collegeville,PA,19426,,Rehan
"Halteman Brothers Building Contractors, Inc.",PA004385,3/21/2026,610-454-9693,250 Fifth Avenue,Trappe,PA,19426,,Rehan
Hammerhead Handyman Services LLC,PA191373,04/10/2026,484-682-3810,3337 Arcola rd,Collegeville,PA,19426,,Rehan
Handi Home Repair Inc,PA195230,09/05/2026,610-715-6735,1503 College Ave,Collegeville,PA,19426,,Rehan
Handi Home Repair Inc.,PA197222,11/24/2026,610-715-6735,1503 COLLEGE AVE,COLLEGEVILLE,PA,19426,,Rehan
Handyman Joe,PA014317,6/17/2026,610-308-9147,300 Woodlyn Dr,Collegeville,PA,19426,,Rehan
Heart And Soul Painting LLC,PA110002,07/11/2026,610-513-2583,420 Westover Rd,Collegeville,PA,19426,,Rehan
"HeckPros, LLC",PA195921,10/02/2026,610-500-3736,260 BETCHER RD,COLLEGEVILLE,PA,19426,,Rehan
Hideaway LLC,PA058913,12/10/2025,610-322-3253,400 Arcola Rd Suite A5,Collegeville,PA,19426,,Rehan
"Hi-Tech Construction Co., Inc.",PA070540,8/20/2026,267-884-1259,357 Level Rd,Collegeville,PA,19426,,Rehan
Hole In The Wall Home Repair,PA175718,8/20/2026,484-674-5179,206 Pacer Lane,Trappe,PA,19426,,Rehan
Home Run Roofing LLC,PA193805,07/08/2026,484-206-5007,3836 Ridge Pike,Collegeville,PA,19426,,Rehan
Honey Doers,PA072729,10/05/2026,831-713-9449,1050 Collegeville Rd,Collegeville,PA,19426,,Rehan
IE Construction,PA065996,02/06/2026,610-505-5604,77w 7th ave,Collegeville,PA,19426,,Rehan
Ike's HVAC Inc,PA104269,10/21/2025,484-942-9084,333 Gravel Pike,Collegeville,PA,19426,,Rehan
Iroy fitness LLC,PA076643,11/17/2025,610-212-5367,3444 Germantown Pike,collegeville,PA,19426,,Rehan
J Built LLC,PA183519,06/06/2025,484-614-1330,163 regents road,collegeville,PA,19426,,Rehan
j jefferson contracting llc,PA098743,03/08/2027,267-882-5011,322 s mennonite rd,collegeville,PA,19426,,Rehan
J Squared Innovations,PA199282,2/26/2027,610-702-4005,138 Regents Rd,Collegeville,PA,19426,,Rehan
"J&V LAWN SERVICE, LLC",PA055214,9/30/2025,610-279-8335,3476 Germantown Pike,Collegeville,PA,19426,,Rehan
J. D. Stipa Inc.,PA030063,09/05/2025,215-399-8502,1310 KRIEBEL MILL RD,COllegeville,PA,19426,,Rehan
J. D. Stipa Inc.,PA030063,09/05/2025,215-399-8502,1310 Krielbel Mill Rd,Collegeville,PA,19426,,Rehan
J.R. Building & Remodeling LLC,PA126580,11/07/2025,215-714-8686,968 Hollow Rd,Collegeville,PA,19426,,Rehan
James Daddona Contracting,PA036518,8/14/2026,484-576-9636,170 Freeland Drive,Collegeville,PA,19426,,Rehan
James R. Kenney Excavating and Paving Inc.,PA100485,05/09/2025,610-489-2345,3950 Germantown Pike,Collegeville,PA,19426,,Rehan
